shipment_id,supplier_id,product,origin,destination,order_quantity,inventory_level,historical_lead_time,current_lead_time,supplier_reliability,weather_risk,transportation_mode,previous_delays,delay_days
SHP051055,SUP009,Laptop,Germany,France,4548,1178,8,13,0.81,0.04,Sea,3,0
SHP062025,SUP005,Smartphone,Taiwan,Australia,4714,892,19,24,0.92,0.19,Road,3,0
SHP082954,SUP009,Microchip,Taiwan,UK,568,4558,19,25,0.71,0.08,Air,4,4
SHP018510,SUP009,Laptop,Taiwan,Germany,1912,9700,29,43,0.73,0.59,Sea,3,6
SHP076910,SUP004,Tablet,Germany,USA,1874,5534,27,35,0.71,0.59,Road,3,3
SHP080278,SUP009,Router,USA,Germany,951,8124,28,33,0.72,0.06,Rail,4,3
SHP026423,SUP002,Keyboard,China,France,3854,5550,12,21,0.71,0.17,Sea,1,1
SHP105717,SUP006,Microchip,India,Canada,78,3677,13,24,0.84,0.8,Sea,0,3
SHP035575,SUP004,Microchip,Germany,India,272,1106,30,36,0.74,0.04,Road,3,5
SHP058559,SUP003,Printer,Vietnam,USA,3959,6976,20,25,0.89,0.12,Road,1,4
SHP071142,SUP005,Mouse,China,Singapore,3525,4702,30,31,0.83,0.32,Air,2,0
SHP078677,SUP002,Router,Taiwan,USA,2348,6411,25,35,0.71,0.56,Sea,0,4
SHP089407,SUP003,Microchip,Japan,Singapore,4411,9310,21,30,0.95,0.3,Sea,4,0
SHP096165,SUP001,Printer,Vietnam,Canada,2354,849,23,30,0.72,0.13,Sea,4,0
SHP082516,SUP004,Mouse,Germany,UK,1066,1498,20,35,1.0,0.67,Sea,3,7
SHP061858,SUP006,Headphones,China,India,4573,8595,13,26,0.7,0.6,Road,4,10
SHP013822,SUP006,Router,South Korea,UK,3066,3560,16,26,0.91,0.78,Sea,2,5
SHP038269,SUP001,Microchip,Germany,UK,4003,7308,23,32,0.78,0.01,Air,4,7
SHP015726,SUP009,Headphones,South Korea,Canada,301,8411,13,18,0.75,0.32,Rail,3,3
SHP104340,SUP010,Headphones,South Korea,Australia,1811,4884,17,32,0.77,0.85,Sea,2,9
SHP072291,SUP004,Monitor,China,UK,1781,2510,19,28,0.88,0.38,Road,0,5
SHP057625,SUP006,Router,Germany,UK,2911,2647,7,13,0.87,0.15,Sea,2,0
SHP054053,SUP005,Laptop,South Korea,France,2950,7651,20,30,0.85,0.96,Air,4,9
SHP026465,SUP002,Keyboard,Germany,Germany,4339,8154,3,3,0.92,0.95,Air,3,0
SHP085811,SUP005,Printer,Japan,Canada,766,6053,13,28,0.85,0.09,Sea,3,6
SHP032227,SUP004,Router,South Korea,France,1576,3607,7,13,0.91,0.76,Rail,1,0
SHP014274,SUP007,Laptop,China,Germany,1463,9625,7,16,0.72,0.03,Air,4,6
SHP016786,SUP001,Mouse,Vietnam,Australia,1638,4922,9,12,0.76,0.85,Rail,0,0
SHP096190,SUP009,Monitor,Taiwan,Singapore,4247,1140,7,12,0.87,0.2,Air,4,4
SHP033365,SUP008,Router,USA,India,2123,7061,3,12,0.74,0.07,Air,4,6
SHP063424,SUP003,Microchip,Germany,India,2892,5579,7,18,0.97,0.57,Sea,3,5
SHP055713,SUP002,Smartphone,USA,India,3141,412,9,14,0.93,0.73,Rail,0,0
SHP097636,SUP007,Microchip,Germany,Australia,1109,8160,11,14,0.9,0.42,Road,4,0
SHP006303,SUP005,Laptop,China,USA,4503,4294,22,30,0.79,0.04,Sea,2,0
SHP023914,SUP010,SSD,Taiwan,France,1180,1468,10,13,0.76,0.07,Air,3,0
SHP013558,SUP009,Keyboard,India,USA,796,7624,14,14,0.97,0.58,Air,3,0
SHP033604,SUP003,Tablet,Germany,USA,2801,3116,30,36,0.8,0.82,Rail,1,0
SHP037034,SUP006,Tablet,China,Australia,2871,4658,29,39,0.79,0.34,Sea,1,3
SHP048765,SUP008,Smartphone,Japan,France,1723,9249,19,32,1.0,0.9,Rail,0,7
SHP040487,SUP006,Keyboard,India,Singapore,1156,5525,5,17,0.98,0.08,Sea,3,5
SHP040827,SUP010,SSD,South Korea,France,2162,1651,29,39,0.77,0.67,Sea,2,3
SHP076978,SUP009,Laptop,India,Germany,4433,1024,19,23,0.78,0.26,Air,2,5
SHP035699,SUP006,Microchip,South Korea,Germany,4051,2636,23,34,0.74,0.65,Rail,3,5
SHP034181,SUP006,Microchip,Germany,France,4577,9953,25,24,0.88,0.4,Air,4,0
SHP095221,SUP002,Smartphone,India,Germany,353,5243,25,33,0.9,0.01,Sea,0,0
SHP050488,SUP005,Tablet,Taiwan,Singapore,74,8113,19,27,0.81,0.83,Air,2,6
SHP044752,SUP005,Printer,China,UK,338,7706,27,36,0.75,0.48,Sea,0,0
SHP030176,SUP009,Printer,India,USA,3103,7577,29,37,0.77,0.41,Sea,4,0
SHP010121,SUP008,Smartphone,Japan,Australia,792,507,19,23,0.8,0.04,Road,1,0
SHP020396,SUP001,Microchip,Germany,India,2105,6056,27,39,0.79,0.83,Rail,0,6
SHP087110,SUP003,Router,China,Canada,2769,3521,21,26,0.98,0.16,Sea,3,0
SHP082454,SUP008,Tablet,India,France,1485,7487,14,32,0.84,0.93,Sea,4,12
SHP028105,SUP001,SSD,South Korea,Australia,92,2225,27,43,0.7,0.04,Sea,4,7
SHP004052,SUP001,SSD,China,India,2074,6245,17,18,0.73,0.56,Road,4,0
