shipment_id,supplier_id,product,origin,destination,order_quantity,inventory_level,historical_lead_time,current_lead_time,supplier_reliability,weather_risk,transportation_mode,previous_delays,delay_days
SHP000001,SUP007,SSD,South Korea,India,1437,4463,11,23,0.91,0.77,Air,0,10
SHP000002,SUP004,Laptop,Taiwan,Canada,1180,8090,13,18,0.91,0.54,Air,1,5
SHP000003,SUP008,Keyboard,Taiwan,UK,1389,3946,29,44,0.71,0.04,Air,3,13
SHP000004,SUP005,Headphones,USA,USA,4932,4200,8,19,0.89,0.47,Air,5,11
SHP000005,SUP007,Tablet,USA,Canada,3085,5521,20,34,0.88,0.1,Air,6,13
SHP000006,SUP010,Laptop,Germany,Singapore,1662,1013,13,20,0.75,0.11,Air,1,5
SHP000007,SUP003,SSD,South Korea,India,1363,6267,11,27,0.74,0.42,Rail,3,14
SHP000008,SUP007,SSD,USA,USA,1287,5258,4,27,0.83,0.79,Sea,6,20
SHP000009,SUP008,SSD,India,Germany,1915,6704,7,19,0.85,0.62,Rail,1,13
SHP000010,SUP005,Router,China,USA,3127,2058,10,24,0.94,0.66,Rail,3,12
SHP000011,SUP004,Router,Vietnam,Singapore,3012,5328,21,31,0.73,0.24,Sea,1,11
SHP000012,SUP008,Headphones,Taiwan,UK,2362,7996,14,31,0.98,0.57,Sea,5,16
SHP000013,SUP008,Keyboard,Vietnam,UK,3265,2083,24,43,0.73,0.71,Sea,6,21
SHP000014,SUP003,Router,Vietnam,Australia,614,5438,9,14,0.9,0.39,Air,0,3
SHP000015,SUP006,Headphones,USA,Canada,3347,9822,14,29,0.78,0.44,Sea,0,13
SHP000016,SUP005,Smartphone,USA,India,4610,7512,14,27,0.73,0.29,Road,4,15
SHP000017,SUP002,Keyboard,Vietnam,Australia,2476,878,14,32,0.8,0.29,Air,6,15
SHP000018,SUP008,Smartphone,USA,Singapore,1847,9086,27,49,0.75,0.95,Sea,7,22
SHP000019,SUP006,Keyboard,USA,Singapore,3836,3413,30,49,0.84,0.37,Air,7,16
SHP000020,SUP002,Keyboard,Taiwan,France,1003,3109,4,18,0.79,0.12,Road,7,14
SHP000021,SUP005,Router,Japan,Canada,2364,1296,28,48,0.72,0.32,Air,5,17
SHP000022,SUP001,Mouse,Japan,Canada,4810,9189,13,26,0.98,0.32,Road,5,15
